ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl	 KuitLisKokN 	 KuitLisN 	 TOCN 	 TOCNliu 	 LisC 
286	4	4	1	3	1.1	 4.9   	 4.9   	 42.0   	 60.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
290	1	4	1	4	0.9	 8.1   	 8.1   	 36.0   	 53.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
296	1	1	1	4	1.1	 7.3   	 7.3   	 22.0   	 33.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
302	1	3	1	4	1.6	 12.0   	 13.6   	 25.0   	 40.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
309	1	2	1	4	1.4	 6.6   	 6.6   	 27.0   	 42.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
314	2	3	1	4	1.3	 12.0   	 12.0   	 25.0   	 35.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
319	2	4	1	4	3.1	 9.7   	 12.8   	 29.0   	 46.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
326	2	2	1	4	1.9	 12.0   	 13.9   	 21.0   	 28.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
336	2	1	1	4	1.2	 9.3   	 9.3   	 20.0   	 28.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
340	3	4	1	4	0.9	 10.0   	 10.0   	 26.0   	 38.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
346	3	3	1	4	2.2	 11.0   	 13.2   	 23.0   	 32.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
354	3	1	1	4	2.3	 12.0   	 14.3   	 30.0   	 41.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
359	3	2	1	4	3.0	 10.0   	 13.0   	 18.0   	 25.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
363	4	2	1	4	2.4	 6.5   	 8.9   	 24.0   	 34.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
367	4	1	1	4	1.1	 10.0   	 10.0   	 20.0   	 30.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
373	4	3	1	4	13.0	 18.0   	 31.0   	 24.0   	 36.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
382	4	4	1	4	1.2	 13.0   	 13.0   	 25.0   	 36.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
386	1	4	1	5	2.2	 10.0   	 12.2   	 32.0   	 43.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
392	1	1	1	5	3.1	 9.3   	 12.4   	 20.0   	 27.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
398	1	3	1	5	2.9	 13.0   	 15.9   	 24.0   	 32.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
405	1	2	1	5	1.2	 10.0   	 10.0   	 45.0   	 60.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
410	2	3	1	5	3.3	 11.0   	 14.3   	 30.0   	 40.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
415	2	4	1	5	1.1	 13.0   	 13.0   	 25.0   	 34.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
422	2	2	1	5	1.0	 13.0   	 13.0   	 38.0   	 50.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
432	2	1	1	5	1.7	 12.0   	 13.7   	 16.0   	 22.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
436	3	4	1	5	1.9	 13.0   	 14.9   	 24.0   	 33.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
442	3	3	1	5	1.8	 11.0   	 12.8   	 24.0   	 33.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
450	3	1	1	5	1.5	 15.0   	 16.5   	 18.0   	 24.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
455	3	2	1	5	1.5	 13.0   	 14.5   	 22.0   	 30.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
459	4	2	1	5	12.0	 11.0   	 23.0   	 27.0   	 36.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
463	4	1	1	5	1.3	 11.0   	 11.0   	 16.0   	 22.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
469	4	3	1	5	0.5	 13.0   	 13.0   	 29.0   	 39.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
478	4	4	1	5	1.9	 14.0   	 15.9   	 25.0   	 33.0   	 298   	 17   	 66   	" 1,145   "	" 19,642   "
484	1	2	1	6	NA	2.3	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
491	1	3	1	6	NA	3.4	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
497	1	1	1	6	NA	3.1	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
503	1	4	1	6	NA	3.7	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
505	2	1	1	6	NA	4	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
515	2	2	1	6	NA	3	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
522	2	4	1	6	NA	3	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
527	2	3	1	6	NA	2.7	NA	NA	NA	 298   	 17   	 66   	" 1,145   "	" 19,642   "
1	1	4	2	1	0.1	 6.0   	 6.0   	 66.0   	 94.0   	 231   	 15   	 77   	" 1,159   "	" 17,758   "
