"kas"	"lan"	"time"	"mean"	"sd"
"1"	"R"	"S1"	"29.9.2015"	7.3	1.3735598518691
"2"	"R"	"S1"	"23.10.2015"	5.475	0.537742193496722
"3"	"R"	"S1"	"15.11.2015"	4.975	0.602079728939615
"4"	"R"	"S1"	"22.4.2016"	9.65	1.93993127026019
"5"	"R"	"S1"	"12.9.2016"	11.825	2.39217474278114
"6"	"R"	"S2"	"29.9.2015"	6.225	1.09048918686371
"7"	"R"	"S2"	"23.10.2015"	3.925	1.77270979012358
"8"	"R"	"S2"	"15.11.2015"	4.575	1.15
"9"	"R"	"S2"	"22.4.2016"	6.725	2.09980157792746
"10"	"R"	"S2"	"12.9.2016"	11.275	3.31197322855525
"11"	"R"	"S3"	"29.9.2015"	9.25	3.2949456242352
"12"	"R"	"S3"	"23.10.2015"	4.825	1.51959424408842
"13"	"R"	"S3"	"15.11.2015"	4	0.496655480858378
"14"	"R"	"S3"	"22.4.2016"	8.35	1.2396235987858
"15"	"R"	"S3"	"12.9.2016"	11.25	3.57164761233057
"16"	"R"	"S4"	"29.9.2015"	5.8	1.04243305140746
"17"	"R"	"S4"	"23.10.2015"	4.725	1.28419884233972
"18"	"R"	"S4"	"15.11.2015"	4.425	0.170782512765993
"19"	"R"	"S4"	"22.4.2016"	9.225	1.67804449682758
"20"	"R"	"S4"	"12.9.2016"	12.25	3.18486001785531
"21"	"R"	"Min"	"29.9.2015"	21.25	6.65206734782504
"22"	"R"	"Min"	"23.10.2015"	16.5	2.64575131106459
"23"	"R"	"Min"	"15.11.2015"	11.9	2.28910462845192
"24"	"R"	"Min"	"22.4.2016"	9.475	2.45950537032686
"25"	"R"	"Min"	"12.9.2016"	10.575	1.84096894777361
"26"	"R"	"C"	"29.9.2015"	10.65	2.26347814951533
"27"	"R"	"C"	"23.10.2015"	10.3	0.824621125123532
"28"	"R"	"C"	"15.11.2015"	7.575	1.14418821295566
"29"	"R"	"C"	"22.4.2016"	9.525	2.54869247523771
"30"	"R"	"C"	"12.9.2016"	9.575	2.34147389479362
"31"	"KK"	"S1"	"29.9.2015"	7.375	2.65377090194312
"32"	"KK"	"S1"	"23.10.2015"	6	1.76446403571547
"33"	"KK"	"S1"	"15.11.2015"	4.75	0.91104335791443
"34"	"KK"	"S1"	"22.4.2016"	8.775	2.69613921500108
"35"	"KK"	"S1"	"12.9.2016"	11.75	1.5
"36"	"KK"	"S2"	"29.9.2015"	7.05	2.55408170059874
"37"	"KK"	"S2"	"23.10.2015"	5.7	1
"38"	"KK"	"S2"	"15.11.2015"	4.25	1.65428735915701
"39"	"KK"	"S2"	"22.4.2016"	8.75	2.27522892621087
"40"	"KK"	"S2"	"12.9.2016"	12.5	1
"41"	"KK"	"S3"	"29.9.2015"	5.675	0.763216876123688
"42"	"KK"	"S3"	"23.10.2015"	6.15	2.09364116632563
"43"	"KK"	"S3"	"15.11.2015"	4.25	1.00166528008778
"44"	"KK"	"S3"	"22.4.2016"	10.125	4.39952648967288
"45"	"KK"	"S3"	"12.9.2016"	10.975	2.19146070008111
"46"	"KK"	"S4"	"29.9.2015"	6.025	2.06619618300554
"47"	"KK"	"S4"	"23.10.2015"	4.3	1.08012344973464
"48"	"KK"	"S4"	"15.11.2015"	4.525	1.01447851956888
"49"	"KK"	"S4"	"22.4.2016"	10.625	1.59243000892766
"50"	"KK"	"S4"	"12.9.2016"	12.25	1.5
"51"	"KK"	"Min"	"29.9.2015"	13	2.94392028877595
"52"	"KK"	"Min"	"23.10.2015"	13.25	1.5
"53"	"KK"	"Min"	"15.11.2015"	7.575	2.20208234783958
"54"	"KK"	"Min"	"22.4.2016"	11.275	1.66408132814075
"55"	"KK"	"Min"	"12.9.2016"	10.425	1.30735101126923
"56"	"KK"	"C"	"29.9.2015"	10.85	2.05507501890645
"57"	"KK"	"C"	"23.10.2015"	11.85	2.49466096560902
"58"	"KK"	"C"	"15.11.2015"	8.15	1.70977581376429
"59"	"KK"	"C"	"22.4.2016"	11.2	1.04562580942387
"60"	"KK"	"C"	"12.9.2016"	9.4	1.81107702762748
"61"	"P"	"S1"	"29.9.2015"	7.8	1.70098010962308
"62"	"P"	"S1"	"23.10.2015"	6.15	0.903696114115064
"63"	"P"	"S1"	"15.11.2015"	5.625	0.531507290636733
"64"	"P"	"S1"	"22.4.2016"	13.25	3.20156211871642
"65"	"P"	"S1"	"12.9.2016"	12	1.15470053837925
"66"	"P"	"S2"	"29.9.2015"	7	0.496655480858378
"67"	"P"	"S2"	"23.10.2015"	5.2	1.0295630140987
"68"	"P"	"S2"	"15.11.2015"	4.075	0.43493294502333
"69"	"P"	"S2"	"22.4.2016"	9.4	3.06920185064456
"70"	"P"	"S2"	"12.9.2016"	11.725	1.53920975395385
"71"	"P"	"S3"	"29.9.2015"	7.375	0.830160627027485
"72"	"P"	"S3"	"23.10.2015"	11.475	8.38942787083839
"73"	"P"	"S3"	"15.11.2015"	4.35	1.02794292967395
"74"	"P"	"S3"	"22.4.2016"	7.4	2.55734237050888
"75"	"P"	"S3"	"12.9.2016"	12.25	0.957427107756338
"76"	"P"	"S4"	"29.9.2015"	6.75	0.544671154612273
"77"	"P"	"S4"	"23.10.2015"	5.775	1.51959424408842
"78"	"P"	"S4"	"15.11.2015"	4.75	0.6557438524302
"79"	"P"	"S4"	"22.4.2016"	10.125	1.03077640640442
"80"	"P"	"S4"	"12.9.2016"	13	0
"81"	"P"	"Min"	"29.9.2015"	12	1.82574185835055
"82"	"P"	"Min"	"23.10.2015"	15	1.15470053837925
"83"	"P"	"Min"	"15.11.2015"	9.45	2.10158670215308
"84"	"P"	"Min"	"22.4.2016"	10.95	0.9
