"kas"	"lan"	"time"	"mean"	"sd"
"85"	"P"	"Min"	"12.9.2016"	10.25	1.50222057856583
"86"	"P"	"C"	"29.9.2015"	11.6	3.17909840468436
"87"	"P"	"C"	"23.10.2015"	12.75	2.3629078131263
"88"	"P"	"C"	"15.11.2015"	8.25	1.20692446601545
"89"	"P"	"C"	"22.4.2016"	12	0.816496580927726
"90"	"P"	"C"	"12.9.2016"	11	1.4142135623731
"91"	"AK"	"S1"	"29.9.2015"	5.075	1.07819293264239
"92"	"AK"	"S1"	"23.10.2015"	6.4	2.04450483002609
"93"	"AK"	"S1"	"15.11.2015"	3.825	0.763216876123687
"94"	"AK"	"S1"	"22.4.2016"	10.2	2.04450483002609
"95"	"AK"	"S1"	"12.9.2016"	12.5	1.73205080756888
"96"	"AK"	"S2"	"29.9.2015"	5.625	2.00229035523489
"97"	"AK"	"S2"	"23.10.2015"	5.575	3.64451642882838
"98"	"AK"	"S2"	"15.11.2015"	4.15	0.6557438524302
"99"	"AK"	"S2"	"22.4.2016"	8.1	2.38187601132665
"100"	"AK"	"S2"	"12.9.2016"	14.75	0.957427107756338
"101"	"AK"	"S3"	"29.9.2015"	4.925	0.846069343099804
"102"	"AK"	"S3"	"23.10.2015"	5.775	0.189296944860009
"103"	"AK"	"S3"	"15.11.2015"	4	1.2
"104"	"AK"	"S3"	"22.4.2016"	7.3	4.03732584763727
"105"	"AK"	"S3"	"12.9.2016"	11.8	1.796292478041
"106"	"AK"	"S4"	"29.9.2015"	5.775	1.39134227756269
"107"	"AK"	"S4"	"23.10.2015"	6.925	2.86749019178793
"108"	"AK"	"S4"	"15.11.2015"	4.325	0.736545993132812
"109"	"AK"	"S4"	"22.4.2016"	7.775	4.62412153819512
"110"	"AK"	"S4"	"12.9.2016"	12.25	1.25830573921179
"111"	"AK"	"Min"	"29.9.2015"	8.475	2.03531324370476
"112"	"AK"	"Min"	"23.10.2015"	7.85	3.6226141573915
"113"	"AK"	"Min"	"15.11.2015"	6.6	2.51396101799531
"114"	"AK"	"Min"	"22.4.2016"	12.475	3.34203032102742
"115"	"AK"	"Min"	"12.9.2016"	13.025	5.39158294628458
"116"	"AK"	"C"	"29.9.2015"	7.575	1.08435848930754
"117"	"AK"	"C"	"23.10.2015"	6.975	1.65201896679992
"118"	"AK"	"C"	"15.11.2015"	5.575	1.36717470232106
"119"	"AK"	"C"	"22.4.2016"	11.4	2.52454616383487
"120"	"AK"	"C"	"12.9.2016"	11.425	2.77893864631805
