"kas"	"lan"	"time"	"mean"	"sd"
"94"	"P"	"S4"	"22.4.2016"	10.125	1.03077640640442
"95"	"P"	"S4"	"12.9.2016"	13	0
"96"	"P"	"S4"	"xx.10.2017"	3.15	0.919238815542512
"97"	"P"	"Min"	"29.9.2015"	12	1.82574185835055
"98"	"P"	"Min"	"23.10.2015"	15	1.15470053837925
"99"	"P"	"Min"	"15.11.2015"	9.45	2.10158670215308
"100"	"P"	"Min"	"22.4.2016"	10.95	0.9
"101"	"P"	"Min"	"12.9.2016"	10.25	1.50222057856583
"102"	"P"	"Min"	"xx.10.2017"	2.45	0.777817459305202
"103"	"P"	"C"	"29.9.2015"	11.6	3.17909840468436
"104"	"P"	"C"	"23.10.2015"	12.75	2.3629078131263
"105"	"P"	"C"	"15.11.2015"	8.25	1.20692446601545
"106"	"P"	"C"	"22.4.2016"	12	0.816496580927726
"107"	"P"	"C"	"12.9.2016"	11	1.4142135623731
"108"	"P"	"C"	"xx.10.2017"	2.55	0.777817459305202
"109"	"AK"	"S1"	"29.9.2015"	5.075	1.07819293264239
"110"	"AK"	"S1"	"23.10.2015"	6.4	2.04450483002609
"111"	"AK"	"S1"	"15.11.2015"	3.825	0.763216876123687
"112"	"AK"	"S1"	"22.4.2016"	10.2	2.04450483002609
"113"	"AK"	"S1"	"12.9.2016"	12.5	1.73205080756888
"114"	"AK"	"S1"	"xx.10.2017"	3.35	0.494974746830583
"115"	"AK"	"S2"	"29.9.2015"	5.625	2.00229035523489
"116"	"AK"	"S2"	"23.10.2015"	5.575	3.64451642882838
"117"	"AK"	"S2"	"15.11.2015"	4.15	0.6557438524302
"118"	"AK"	"S2"	"22.4.2016"	8.1	2.38187601132665
"119"	"AK"	"S2"	"12.9.2016"	14.75	0.957427107756338
"120"	"AK"	"S2"	"xx.10.2017"	3.75	0.919238815542512
"121"	"AK"	"S3"	"29.9.2015"	4.925	0.846069343099804
"122"	"AK"	"S3"	"23.10.2015"	5.775	0.189296944860009
"123"	"AK"	"S3"	"15.11.2015"	4	1.2
"124"	"AK"	"S3"	"22.4.2016"	7.3	4.03732584763727
"125"	"AK"	"S3"	"12.9.2016"	11.8	1.796292478041
"126"	"AK"	"S3"	"xx.10.2017"	3.4	0.282842712474619
"127"	"AK"	"S4"	"29.9.2015"	5.775	1.39134227756269
"128"	"AK"	"S4"	"23.10.2015"	6.925	2.86749019178793
"129"	"AK"	"S4"	"15.11.2015"	4.325	0.736545993132812
"130"	"AK"	"S4"	"22.4.2016"	7.775	4.62412153819512
"131"	"AK"	"S4"	"12.9.2016"	12.25	1.25830573921179
"132"	"AK"	"S4"	"xx.10.2017"	2.9	0.565685424949238
"133"	"AK"	"Min"	"29.9.2015"	8.475	2.03531324370476
"134"	"AK"	"Min"	"23.10.2015"	7.85	3.6226141573915
"135"	"AK"	"Min"	"15.11.2015"	6.6	2.51396101799531
"136"	"AK"	"Min"	"22.4.2016"	12.475	3.34203032102742
"137"	"AK"	"Min"	"12.9.2016"	13.025	5.39158294628458
"138"	"AK"	"Min"	"xx.10.2017"	3.3	0.848528137423857
"139"	"AK"	"C"	"29.9.2015"	7.575	1.08435848930754
"140"	"AK"	"C"	"23.10.2015"	6.975	1.65201896679992
"141"	"AK"	"C"	"15.11.2015"	5.575	1.36717470232106
"142"	"AK"	"C"	"22.4.2016"	11.4	2.52454616383487
"143"	"AK"	"C"	"12.9.2016"	11.425	2.77893864631805
"144"	"AK"	"C"	"xx.10.2017"	3.25	0.0707106781186545
