"29.9.2015" "23.10.2015" "15.11.2015" "22.4.2016" "12.9.2016" "16.10.2017"
"S1" "a" "a" "ac" "a" "a" "a"
"S2" "a" "a" "a" "a" "a" "a"
"S3" "a" "a" "a" "a" "a" "a"
"S4" "a" "a" "a" "a" "a" "a"
"Min" "b" "b" "b" "a" "a" "a"
"C" "a" "c" "c" "a" "a" "a"
