"29.9.2015" "23.10.2015" "15.11.2015" "22.4.2016" "12.9.2016" "16.10.2017"
"S1" "ab" "a" "ac" "a" "ab" "a"
"S2" "ab" "a" "a" "a" "a" "a"
"S3" "a" "a" "a" "a" "abc" "a"
"S4" "a" "a" "a" "a" "ab" "a"
"Min" "c" "b" "bc" "a" "bc" "a"
"C" "bc" "b" "b" "a" "c" "a"
