ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl
84	4	1	6	1	0.0	 9.1   	 9.1   	 25.0   	 39.0   
85	4	3	1	1	0.0	 8.5   	 8.5   	 46.0   	 67.0   
86	4	3	5	1	0.3	 10.0   	 10.0   	 23.0   	 36.0   
87	4	3	6	1	1.6	 8.4   	 10.0   	 21.0   	 35.0   
88	4	3	2	1	2.4	 7.2   	 9.6   	 35.0   	 50.0   
89	4	3	4	1	0.9	 6.2   	 6.2   	 28.0   	 46.0   
90	4	3	3	1	1.4	 7.5   	 7.5   	 25.0   	 37.0   
91	4	4	6	1	0.7	 9.1   	 9.1   	 20.0   	 32.0   
92	4	4	4	1	2.2	 6.4   	 8.6   	 40.0   	 59.0   
93	4	4	3	1	0.0	 5.1   	 5.1   	 29.0   	 42.0   
94	4	4	1	1	0.0	 6.4   	 6.4   	 40.0   	 53.0   
95	4	4	2	1	0.0	 4.3   	 4.3   	 36.0   	 54.0   
96	4	4	5	1	0.0	 10.0   	 10.0   	 21.0   	 30.0   
97	1	4	2	2	0.0	 3.5   	 3.5   	 97.0   	 130.0   
98	1	4	1	2	0.0	 7.1   	 7.1   	 57.0   	 81.0   
99	1	4	5	2	0.0	 6.9   	 6.9   	 36.0   	 48.0   
100	1	4	3	2	0.0	 5.8   	 5.8   	 45.0   	 68.0   
101	1	4	4	2	0.0	 5.3   	 5.3   	 44.0   	 65.0   
102	1	4	6	2	0.0	 8.3   	 8.3   	 44.0   	 62.0   
103	1	1	4	2	0.0	 4.4   	 4.4   	 63.0   	 88.0   
104	1	1	1	2	3.4	 5.4   	 8.8   	 61.0   	 86.0   
105	1	1	2	2	2.2	 2.8   	 5.0   	 44.0   	 67.0   
106	1	1	3	2	1.5	 7.1   	 8.6   	 29.0   	 40.0   
107	1	1	5	2	1.9	 15.0   	 16.9   	 25.0   	 34.0   
108	1	1	6	2	2.7	 11.0   	 13.7   	 23.0   	 33.0   
109	1	3	5	2	1.3	 14.0   	 14.0   	 23.0   	 32.0   
110	1	3	1	2	2.1	 5.3   	 7.4   	 50.0   	 67.0   
111	1	3	4	2	2.0	 6.8   	 8.8   	 36.0   	 53.0   
112	1	3	3	2	9.8	 12.0   	 21.8   	 32.0   	 42.0   
113	1	3	6	2	4.5	 16.0   	 20.5   	 24.0   	 35.0   
114	1	3	2	2	3.1	 4.5   	 7.6   	 56.0   	 81.0   
115	1	2	4	2	2.8	 5.0   	 7.8   	 47.0   	 68.0   
116	1	2	2	2	1.8	 5.6   	 7.4   	 82.0   	 110.0   
117	1	2	1	2	1.7	 5.8   	 7.5   	 59.0   	 82.0   
118	1	2	3	2	3.0	 7.1   	 10.1   	 55.0   	 76.0   
119	1	2	6	2	6.9	 14.0   	 20.9   	 48.0   	 70.0   
120	1	2	5	2	1.5	 14.0   	 15.5   	 34.0   	 50.0   
121	2	3	5	2	1.9	 14.0   	 15.9   	 25.0   	 35.0   
122	2	3	1	2	1.7	 5.5   	 7.2   	 52.0   	 67.0   
123	2	3	3	2	4.1	 23.0   	 27.1   	 36.0   	 51.0   
124	2	3	6	2	2.1	 13.0   	 15.1   	 28.0   	 36.0   
125	2	3	2	2	2.2	 4.2   	 6.4   	 53.0   	 69.0   
126	2	3	4	2	2.8	 7.2   	 10.0   	 44.0   	 59.0   
127	2	4	1	2	3.6	 3.4   	 7.0   	 58.0   	 86.0   
128	2	4	5	2	2.1	 4.5   	 6.6   	 34.0   	 56.0   
129	2	4	6	2	2.5	 5.7   	 8.2   	 50.0   	 69.0   
130	2	4	4	2	110.0	 11.0   	 121.0   	 53.0   	 77.0   
131	2	4	2	2	1.7	 3.4   	 5.1   	 60.0   	 92.0   
132	2	4	3	2	7.9	 5.9   	 13.8   	 49.0   	 75.0   
133	2	2	4	2	1.9	 2.7   	 4.6   	 68.0   	 93.0   
134	2	2	1	2	2.5	 4.4   	 6.9   	 82.0   	 120.0   
135	2	2	5	2	1.5	 12.0   	 13.5   	 29.0   	 39.0   
136	2	2	2	2	3.1	 4.4   	 7.5   	 47.0   	 65.0   
137	2	2	3	2	2.6	 5.3   	 7.9   	 34.0   	 44.0   
138	2	2	6	2	2.6	 14.0   	 16.6   	 24.0   	 34.0   
139	2	1	5	2	3.0	 17.0   	 20.0   	 28.0   	 38.0   
140	2	1	4	2	2.4	 3.3   	 5.7   	 34.0   	 46.0   
141	2	1	6	2	2.5	 9.8   	 12.3   	 24.0   	 35.0   
142	2	1	2	2	3.2	 2.5   	 5.7   	 48.0   	 67.0   
143	2	1	3	2	1.9	 4.2   	 6.1   	 29.0   	 44.0   
144	2	1	1	2	2.1	 4.9   	 7.0   	 50.0   	 68.0   
145	3	4	4	2	2.1	 4.6   	 6.7   	 42.0   	 63.0   
146	3	4	3	2	2.2	 5.9   	 8.1   	 30.0   	 43.0   
147	3	4	6	2	2.0	 5.4   	 7.4   	 27.0   	 39.0   
148	3	4	1	2	4.3	 7.1   	 11.4   	 52.0   	 84.0   
149	3	4	2	2	3.8	 4.4   	 8.2   	 56.0   	 83.0   
150	3	4	5	2	2.1	 7.0   	 9.1   	 22.0   	 34.0   
151	3	3	5	2	2.8	 16.0   	 18.8   	 25.0   	 37.0   
152	3	3	6	2	3.1	 11.0   	 14.1   	 25.0   	 34.0   
153	3	3	4	2	2.3	 3.9   	 6.2   	 38.0   	 55.0   
154	3	3	1	2	1.6	 7.2   	 8.8   	 58.0   	 85.0   
155	3	3	3	2	1.2	 7.1   	 7.1   	 32.0   	 49.0   
156	3	3	2	2	3.1	 5.7   	 8.8   	 39.0   	 54.0   
157	3	1	4	2	1.7	 6.4   	 8.1   	 48.0   	 72.0   
158	3	1	2	2	1.2	 4.0   	 4.0   	 56.0   	 88.0   
159	3	1	5	2	3.0	 14.0   	 17.0   	 26.0   	 37.0   
160	3	1	3	2	0.2	 4.0   	 4.0   	 31.0   	 47.0   
161	3	1	6	2	0.3	 11.0   	 11.0   	 26.0   	 38.0   
162	3	1	1	2	0.1	 6.2   	 6.2   	 50.0   	 72.0   
163	3	2	4	2	0.1	 4.6   	 4.6   	 39.0   	 56.0   
164	3	2	3	2	3.8	 8.5   	 12.3   	 24.0   	 38.0   
165	3	2	2	2	0.2	 6.8   	 6.8   	 34.0   	 52.0   
166	3	2	6	2	0.4	 10.0   	 10.0   	 20.0   	 34.0   
167	3	2	1	2	0.5	 8.5   	 8.5   	 38.0   	 57.0   
168	3	2	5	2	0.0	 15.0   	 15.0   	 20.0   	 30.0   
169	4	2	6	2	0.0	 9.4   	 9.4   	 20.0   	 29.0   
170	4	2	4	2	0.0	 4.9   	 4.9   	 37.0   	 53.0   
171	4	2	1	2	0.0	 5.3   	 5.3   	 43.0   	 60.0   
172	4	2	5	2	1.4	 12.0   	 12.0   	 20.0   	 31.0   
173	4	2	3	2	0.4	 3.7   	 3.7   	 25.0   	 41.0   
174	4	2	2	2	0.5	 6.0   	 6.0   	 38.0   	 58.0   
175	4	1	1	2	0.4	 5.4   	 5.4   	 41.0   	 60.0   
176	4	1	5	2	0.2	 20.0   	 20.0   	 28.0   	 46.0   
177	4	1	3	2	0.4	 4.0   	 4.0   	 28.0   	 39.0   
178	4	1	4	2	0.3	 4.8   	 4.8   	 35.0   	 49.0   
179	4	1	2	2	0.2	 6.4   	 6.4   	 44.0   	 63.0   
180	4	1	6	2	2.8	 9.4   	 12.2   	 28.0   	 39.0   
181	4	3	1	2	0.2	 6.6   	 6.6   	 41.0   	 62.0   
182	4	3	5	2	0.0	 16.0   	 16.0   	 22.0   	 33.0   
183	4	3	6	2	0.3	 11.0   	 11.0   	 21.0   	 29.0   
184	4	3	2	2	1.0	 6.4   	 6.4   	 42.0   	 59.0   
185	4	3	4	2	1.0	 5.2   	 5.2   	 36.0   	 55.0   
186	4	3	3	2	0.6	 3.8   	 3.8   	 29.0   	 45.0   
187	4	4	6	2	0.5	 8.5   	 8.5   	 20.0   	 29.0   
188	4	4	4	2	0.4	 6.8   	 6.8   	 33.0   	 48.0   
