ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl
364	4	2	5	4	7.7	 13.0   	 20.7   	 15.0   	 21.0   
365	4	2	3	4	2.5	 6.7   	 9.2   	 19.0   	 28.0   
366	4	2	2	4	3.6	 11.0   	 14.6   	 30.0   	 42.0   
367	4	1	1	4	1.1	 10.0   	 10.0   	 20.0   	 30.0   
368	4	1	5	4	2.1	 13.0   	 15.1   	 15.0   	 22.0   
369	4	1	3	4	1.7	 10.0   	 11.7   	 17.0   	 25.0   
370	4	1	4	4	1.6	 11.0   	 12.6   	 25.0   	 33.0   
371	4	1	2	4	1.3	 7.9   	 7.9   	 27.0   	 41.0   
372	4	1	6	4	5.4	 13.0   	 18.4   	 17.0   	 26.0   
373	4	3	1	4	13.0	 18.0   	 31.0   	 24.0   	 36.0   
374	4	3	5	4	2.3	 12.0   	 14.3   	 15.0   	 22.0   
375	4	3	6	4	0.8	 12.0   	 12.0   	 17.0   	 25.0   
376	4	3	2	4	2.6	 13.0   	 15.6   	 28.0   	 43.0   
377	4	3	4	4	1.5	 11.0   	 12.5   	 23.0   	 36.0   
378	4	3	3	4	1.3	 4.3   	 4.3   	 20.0   	 30.0   
379	4	4	6	4	1.5	 14.0   	 15.5   	 16.0   	 22.0   
380	4	4	4	4	4.9	 14.0   	 18.9   	 25.0   	 34.0   
381	4	4	3	4	4.7	 13.0   	 17.7   	 18.0   	 25.0   
382	4	4	1	4	1.2	 13.0   	 13.0   	 25.0   	 36.0   
383	4	4	2	4	2.1	 11.0   	 13.1   	 33.0   	 47.0   
384	4	4	5	4	2.5	 17.0   	 19.5   	 15.0   	 19.0   
385	1	4	2	5	1.7	 14.0   	 15.7   	 9.0   	 12.0   
386	1	4	1	5	2.2	 10.0   	 12.2   	 32.0   	 43.0   
387	1	4	5	5	1.1	 9.1   	 9.1   	 24.0   	 32.0   
388	1	4	3	5	1.5	 9.2   	 10.7   	 38.0   	 50.0   
389	1	4	4	5	1.4	 11.0   	 11.0   	 41.0   	 55.0   
390	1	4	6	5	1.2	 7.7   	 7.7   	 41.0   	 55.0   
391	1	1	4	5	2.4	 9.8   	 12.2   	 24.0   	 32.0   
392	1	1	1	5	3.1	 9.3   	 12.4   	 20.0   	 27.0   
393	1	1	2	5	2.3	 8.5   	 10.8   	 24.0   	 32.0   
394	1	1	3	5	1.5	 8.4   	 9.9   	 16.0   	 21.0   
395	1	1	5	5	1.2	 11.0   	 11.0   	 17.0   	 23.0   
396	1	1	6	5	1.1	 6.9   	 6.9   	 17.0   	 22.0   
397	1	3	5	5	0.9	 9.1   	 9.1   	 30.0   	 40.0   
398	1	3	1	5	2.9	 13.0   	 15.9   	 24.0   	 32.0   
399	1	3	4	5	1.0	 13.0   	 13.0   	 28.0   	 37.0   
400	1	3	3	5	7.4	 11.0   	 18.4   	 26.0   	 34.0   
401	1	3	6	5	1.0	 9.0   	 9.0   	 20.0   	 27.0   
402	1	3	2	5	2.9	 9.9   	 12.8   	 32.0   	 42.0   
403	1	2	4	5	1.3	 11.0   	 11.0   	 35.0   	 47.0   
404	1	2	2	5	1.0	 12.0   	 12.0   	 24.0   	 32.0   
405	1	2	1	5	1.2	 10.0   	 10.0   	 45.0   	 60.0   
406	1	2	3	5	0.9	 8.9   	 8.9   	 27.0   	 36.0   
407	1	2	6	5	1.4	 6.8   	 6.8   	 33.0   	 45.0   
408	1	2	5	5	1.0	 9.4   	 9.4   	 23.0   	 31.0   
409	2	3	5	5	0.8	 8.9   	 8.9   	 30.0   	 40.0   
410	2	3	1	5	3.3	 11.0   	 14.3   	 30.0   	 40.0   
411	2	3	3	5	7.6	 13.0   	 20.6   	 25.0   	 33.0   
412	2	3	6	5	1.2	 12.0   	 12.0   	 21.0   	 28.0   
413	2	3	2	5	1.6	 11.0   	 12.6   	 33.0   	 45.0   
414	2	3	4	5	7.5	 13.0   	 20.5   	 33.0   	 44.0   
415	2	4	1	5	1.1	 13.0   	 13.0   	 25.0   	 34.0   
416	2	4	5	5	3.1	 11.0   	 14.1   	 29.0   	 39.0   
417	2	4	6	5	2.5	 13.0   	 15.5   	 18.0   	 25.0   
418	2	4	4	5	1.7	 12.0   	 13.7   	 64.0   	 85.0   
419	2	4	2	5	2.3	 15.0   	 17.3   	 41.0   	 55.0   
420	2	4	3	5	16.0	 12.0   	 28.0   	 41.0   	 55.0   
421	2	2	4	5	1.5	 14.0   	 15.5   	 64.0   	 85.0   
422	2	2	1	5	1.0	 13.0   	 13.0   	 38.0   	 50.0   
423	2	2	5	5	1.4	 11.0   	 11.0   	 31.0   	 41.0   
424	2	2	2	5	1.8	 14.0   	 15.8   	 25.0   	 33.0   
425	2	2	3	5	2.7	 14.0   	 16.7   	 29.0   	 38.0   
426	2	2	6	5	1.4	 11.0   	 11.0   	 16.0   	 22.0   
427	2	1	5	5	1.2	 9.0   	 9.0   	 14.0   	 19.0   
428	2	1	4	5	1.1	 9.2   	 9.2   	 18.0   	 24.0   
429	2	1	6	5	1.2	 8.4   	 8.4   	 13.0   	 17.0   
430	2	1	2	5	1.3	 9.6   	 9.6   	 23.0   	 30.0   
431	2	1	3	5	2.2	 8.6   	 10.8   	 12.0   	 17.0   
432	2	1	1	5	1.7	 12.0   	 13.7   	 16.0   	 22.0   
433	3	4	4	5	2.3	 12.0   	 14.3   	 29.0   	 39.0   
434	3	4	3	5	1.7	 13.0   	 14.7   	 19.0   	 26.0   
435	3	4	6	5	1.7	 11.0   	 12.7   	 18.0   	 24.0   
436	3	4	1	5	1.9	 13.0   	 14.9   	 24.0   	 33.0   
437	3	4	2	5	1.9	 14.0   	 15.9   	 33.0   	 44.0   
438	3	4	5	5	1.4	 11.0   	 11.0   	 26.0   	 34.0   
439	3	3	5	5	1.4	 12.0   	 12.0   	 23.0   	 30.0   
440	3	3	6	5	1.5	 11.0   	 12.5   	 18.0   	 24.0   
441	3	3	4	5	1.5	 13.0   	 14.5   	 26.0   	 34.0   
442	3	3	1	5	1.8	 11.0   	 12.8   	 24.0   	 33.0   
443	3	3	3	5	2.1	 12.0   	 14.1   	 18.0   	 24.0   
444	3	3	2	5	5.8	 13.0   	 18.8   	 31.0   	 42.0   
445	3	1	4	5	3.7	 15.0   	 18.7   	 27.0   	 36.0   
446	3	1	2	5	1.7	 11.0   	 12.7   	 34.0   	 45.0   
447	3	1	5	5	1.2	 9.3   	 9.3   	 15.0   	 20.0   
448	3	1	3	5	2.5	 12.0   	 14.5   	 17.0   	 23.0   
449	3	1	6	5	4.7	 11.0   	 15.7   	 15.0   	 20.0   
450	3	1	1	5	1.5	 15.0   	 16.5   	 18.0   	 24.0   
451	3	2	4	5	1.2	 13.0   	 13.0   	 20.0   	 27.0   
452	3	2	3	5	2.6	 11.0   	 13.6   	 18.0   	 24.0   
453	3	2	2	5	1.7	 12.0   	 13.7   	 22.0   	 29.0   
454	3	2	6	5	2.1	 9.8   	 11.9   	 15.0   	 20.0   
455	3	2	1	5	1.5	 13.0   	 14.5   	 22.0   	 30.0   
456	3	2	5	5	1.2	 12.0   	 12.0   	 19.0   	 26.0   
457	4	2	6	5	1.8	 10.0   	 11.8   	 15.0   	 20.0   
458	4	2	4	5	1.5	 11.0   	 12.5   	 23.0   	 30.0   
459	4	2	1	5	12.0	 11.0   	 23.0   	 27.0   	 36.0   
460	4	2	5	5	1.5	 9.3   	 10.8   	 28.0   	 38.0   
461	4	2	3	5	1.8	 10.0   	 11.8   	 23.0   	 30.0   
462	4	2	2	5	1.5	 12.0   	 13.5   	 23.0   	 30.0   
463	4	1	1	5	1.3	 11.0   	 11.0   	 16.0   	 22.0   
464	4	1	5	5	1.9	 13.0   	 14.9   	 17.0   	 22.0   
465	4	1	3	5	1.4	 16.0   	 16.0   	 19.0   	 25.0   
466	4	1	4	5	1.4	 15.0   	 15.0   	 24.0   	 33.0   
467	4	1	2	5	1.7	 16.0   	 17.7   	 24.0   	 32.0   
468	4	1	6	5	0.9	 12.0   	 12.0   	 19.0   	 26.0   
469	4	3	1	5	0.5	 13.0   	 13.0   	 29.0   	 39.0   
470	4	3	5	5	0.4	 11.0   	 11.0   	 24.0   	 32.0   
471	4	3	6	5	0.5	 12.0   	 12.0   	 17.0   	 22.0   
472	4	3	2	5	0.8	 13.0   	 13.0   	 28.0   	 38.0   
473	4	3	4	5	1.8	 13.0   	 14.8   	 22.0   	 29.0   
474	4	3	3	5	0.7	 13.0   	 13.0   	 25.0   	 34.0   
475	4	4	6	5	2.4	 14.0   	 16.4   	 14.0   	 18.0   
476	4	4	4	5	0.4	 14.0   	 14.0   	 26.0   	 35.0   
477	4	4	3	5	0.5	 13.0   	 13.0   	 29.0   	 38.0   
478	4	4	1	5	1.9	 14.0   	 15.9   	 25.0   	 33.0   
479	4	4	2	5	0.9	 16.0   	 16.0   	 26.0   	 35.0   
480	4	4	5	5	6.9	 21.0   	 27.9   	 17.0   	 23.0   
